name	slug	listed_address
15cenchi	15-cms	The Exchange, Ground Floor, 1 Little Pier St
789 Korean BBQ	789KoreanBBQ	Shop 4/35 Tumbalong Bvd
Auvers Dining	auvers-cafe	Shop 4, 12 Nicolle Walk
Bar Bubu	bar-bubu	9 Steam Mill Lane
Batch Brewing Co.	batch-brewing-co	1 Little Pier Street
Bendigo Bank	bendigo-bank	11 Little Pier St
Bengong's Tea	bengongs-tea	91 Harbour Street
Blue Works	blueworks	Shop 10/19 Little Hay St
Body Haven Massage	body-haven	3 Little Pier St
Bubble Nini	bubble-nini	Shop 8/1 Little Pier St
Century 21	Century21	79 Harbour St
Chicken Number 5	chicken-number-5	9 Little Hay St
Chinta Ria Buddha Love	chinta-ria	14 Nicolle Walk
Cinnabon	cinnabon	85 Hay Street
Darling Nest Child Care Centre	darling-nest	Level 3, 1 Little Pier Street
Darling Square Library	Darling-Square-library	
Darlings Life	darlings-life	Shop 1/35 Tumbalong Bvd
Don'to	donto	
Dopa Donburi & Dessert	dopa-donburi-and-dessert	Shop 5-6, 2 Little Hay St
Dragon Hot Pot	dragon-hot-pot	
Edition Roasters	edition-coffee-roasters	60 Darling Dr
Fishbowl	fishbowl-the-exchange	12/1 Little Pier Street
Five Beauty	five-beauty	Shop 2/2 Little Hay St
FREO	freo	14 Nicolle Walk
Golden Century BBQ	golden-century-bbq	The Exchange Ground Floor, 1 Little Pier Street
Haidilao Hotpot	haidilao-hotpot	Level 5, The Exchange, 1 Little Pier St
Hakatamon Ramen	hakatamon-ramen	6/8 Nicolle Walk
Haven Specialty Coffee	haven-specialty-coffee	85 Harbour St
Hello Auntie	hello-auntie	16 Nicolle Walk
Holy Basil	holybasil	Shop14/80 Hay St
Hulu Hulu	hulu-hulu	Little Pier St
IIKO Mazesoba	iiko-mazesoba	SE 13, 86 Hay Street
KAO KAO	kao-kao	
KUKI	kuki	9/18 Steam Mill La
Kurtosh	kurtosh	Shop 1, 16 Nicolle Walk
Kwang Jang Pocha	kwang-jang-pocha	Steam Mill La
La Cosmetique	la-cosmetique	11 Little Hay Street
Lermont Laser Clinic	lermont-laser-clinic	Shop 13/70 Hay Street
Lillianna Gifts & Home	lillianna-gifts-and-home	Shop 6/12 Steam Mill La
Lilong by Taste of Shanghai	lilong-by-taste-of-shanghai	1 Little Hay St
machi machi	machimachi	Shop 14/80 Hay St
Marrickville Pork Roll	marrickville-pork-roll	16 Steam Mill Lane
Matcha-Ya	matchaya	10 Steam Mill Lane
McDonald’s	mcdonalds	9 Little Pier Street
Meet Fresh	meet-fresh	
Gelato Messina	gelato-messina	Shop 02, 3 Little Hay St
Moyashi Japanese Hotpot Buffet	moyashi-japanese-hotpot-buffet	Shop SW 12/63 Tumbalong Bvd
myhealth	myhealth	Shop 1, Darling One Building, 64 Darling Drive
MySpec	my-spec	Shop 3/5 Little Hay St
Nakano Darling	nakano-darling	14 Steam Mill Lane
Pancakes On The Rocks	pancakes-on-the-rocks	55 Tumbalong Boulevard
Planet Pop World	planet-pop-world	35 Tumbalong Bvd
Puppuccino Pet Spa	puppuccino-pet-spa	2 Steam Mill Lane
Quikstop	quikstop	
Shortstop Coffee & Donuts	shortstop-coffee-donuts	15 Little Hay St
SPAGO	spago	Shop 9/1 Little Pier St
Starbucks	starbucks-coffee-company	Shop NE07, 35 Tumbalong Boulevard
SUG Patisserie	sug-patisserie	62 Darling Dr
Sushi Sei	sushi-sei	SE04, Little Hay St
Sushia	sushia	The Exchange, Shop T-12, 35 Tumbalong Bvd
Tan Viet Noodle House	tan-viet-noodle-house	74 Tumbalong Bvd
Tea Republic	tea-republic	Shop SE.07, 1/19 Little Hay St
The Brothers Cafe	the-brothers-cafe	Shop T.03 /1 Little Pier Street
Thirteen Feet Tattoo	thirteen-feet-tattoo	4/2 Little Hay Street
ToastieSmith	toastiesmith	The Exchange, T05/1 Little Pier St
Toby’s Estate	tobys-estate	Shop 2/35 Tumbalong Bvd
Uliveto	uliveto	Shop 5-6, 2 Little Hay St
Ume Burger	ume-burger	1 Little Pier Street, Darling Exchange
Wingboy	wingboy	7 Steam Mill La
XOPP by Golden Century	xopp-by-golden-century	Shop 31/1 Little Pier St
YAYOI	YAYOI	
